symbol,timestamp,open,high,low,close
EURUSD=X,2021-11-01,0.86196,0.86362,0.86115,0.86210
EURUSD=X,2021-10-31,0.86515,0.86625,0.86257,0.86536
EURUSD=X,2021-10-28,0.85594,0.86610,0.85544,0.85602
EURUSD=X,2021-10-27,0.86218,0.86341,0.85536,0.86211
EURUSD=X,2021-10-26,0.86228,0.86317,0.86026,0.86244
EURUSD=X,2021-10-25,0.86133,0.86326,0.86021,0.86155
EURUSD=X,2021-10-24,0.85909,0.86263,0.85727,0.85933
EURUSD=X,2021-10-21,0.86020,0.86044,0.85810,0.86023
EURUSD=X,2021-10-20,0.85824,0.85966,0.85713,0.85819
EURUSD=X,2021-10-19,0.85977,0.86096,0.85822,0.85984
EURUSD=X,2021-10-18,0.86104,0.86110,0.85704,0.86110
EURUSD=X,2021-10-17,0.86244,0.86416,0.86122,0.86237
EURUSD=X,2021-10-14,0.86280,0.86311,0.86071,0.86281
EURUSD=X,2021-10-13,0.86228,0.86341,0.86030,0.86238
EURUSD=X,2021-10-12,0.86726,0.86745,0.86372,0.86722
EURUSD=X,2021-10-11,0.86561,0.86708,0.86433,0.86558
EURUSD=X,2021-10-10,0.86468,0.86565,0.86311,0.86468
EURUSD=X,2021-10-07,0.86513,0.86641,0.86333,0.86520
EURUSD=X,2021-10-06,0.86544,0.86591,0.86422,0.86545
EURUSD=X,2021-10-05,0.86246,0.86733,0.86225,0.86241
EURUSD=X,2021-10-04,0.86087,0.86348,0.86062,0.86087
EURUSD=X,2021-10-03,0.86155,0.86304,0.85919,0.86161
EURUSD=X,2021-09-30,0.86402,0.86483,0.86156,0.86401
EURUSD=X,2021-09-29,0.86200,0.86442,0.86135,0.86214
EURUSD=X,2021-09-28,0.85571,0.86133,0.85544,0.85572
EURUSD=X,2021-09-27,0.85502,0.85696,0.85447,0.85508
EURUSD=X,2021-09-26,0.85319,0.85575,0.85287,0.85313
EURUSD=X,2021-09-23,0.85169,0.85463,0.85128,0.85182
EURUSD=X,2021-09-22,0.85555,0.85594,0.85108,0.85565
EURUSD=X,2021-09-21,0.85305,0.85361,0.85151,0.85310
EURUSD=X,2021-09-20,0.85286,0.85357,0.85118,0.85274
EURUSD=X,2021-09-19,0.85270,0.85468,0.85208,0.85260
EURUSD=X,2021-09-16,0.84991,0.85259,0.84830,0.84983
EURUSD=X,2021-09-15,0.84610,0.85097,0.84602,0.84617
EURUSD=X,2021-09-14,0.84724,0.84746,0.84522,0.84727
EURUSD=X,2021-09-13,0.84670,0.84741,0.84425,0.84674
EURUSD=X,2021-09-12,0.84667,0.84959,0.84625,0.84667
EURUSD=X,2021-09-09,0.84580,0.84617,0.84389,0.84567
EURUSD=X,2021-09-08,0.84620,0.84705,0.84455,0.84610
EURUSD=X,2021-09-07,0.84435,0.84731,0.84381,0.84438
EURUSD=X,2021-09-06,0.84221,0.84473,0.84141,0.84223
EURUSD=X,2021-09-05,0.84138,0.84343,0.84138,0.84138
EURUSD=X,2021-09-02,0.84223,0.84264,0.83976,0.84221
EURUSD=X,2021-09-01,0.84448,0.84509,0.84249,0.84459
EURUSD=X,2021-08-31,0.84677,0.84789,0.84344,0.84681
EURUSD=X,2021-08-30,0.84777,0.84789,0.84433,0.84773
EURUSD=X,2021-08-29,0.84754,0.84861,0.84678,0.84767
